time,v_perp,v_para,pitch_angle,v_perp_eV,v_para_eV,inval_lat
0.011,348.276,346.3,45.1629,0.0101144,0.01,75
0.022,350.251,346.301,45.3249,0.0102295,0.0100001,75
0.033,352.227,346.301,45.486,0.0103452,0.0100001,75
0.044,354.202,346.302,45.6462,0.0104616,0.0100001,75
0.055,356.178,346.302,45.8054,0.0105786,0.0100001,75
0.066,358.153,346.303,45.9638,0.0106963,0.0100002,74.9999
0.077,360.129,346.303,46.1212,0.0108146,0.0100002,74.9999
0.088,362.104,346.304,46.2777,0.0109336,0.0100002,74.9999
0.099,364.08,346.304,46.4334,0.0110532,0.0100003,74.9999
0.11,366.056,346.305,46.5882,0.0111735,0.0100003,74.9999
0.121,368.031,346.305,46.742,0.0112944,0.0100003,74.9999
0.132,370.007,346.306,46.8951,0.011416,0.0100003,74.9999
0.143,371.982,346.307,47.0472,0.0115382,0.0100004,74.9999
0.154,373.958,346.307,47.1985,0.0116611,0.0100004,74.9999
0.165,375.933,346.308,47.3489,0.0117847,0.0100004,74.9999
0.176,377.909,346.308,47.4985,0.0119088,0.0100005,74.9999
0.187,379.884,346.309,47.6472,0.0120337,0.0100005,74.9999
0.198,381.86,346.309,47.7951,0.0121592,0.0100005,74.9999
0.209,383.835,346.31,47.9421,0.0122853,0.0100006,74.9999
0.22,385.811,346.31,48.0883,0.0124121,0.0100006,74.9998
0.231,387.787,346.311,48.2337,0.0125395,0.0100006,74.9998
0.242,389.762,346.312,48.3782,0.0126676,0.0100007,74.9998
0.253,391.738,346.312,48.522,0.0127963,0.0100007,74.9998
0.264,393.713,346.313,48.6649,0.0129257,0.0100007,74.9998
0.275,395.689,346.313,48.807,0.0130558,0.0100008,74.9998
0.286,397.664,346.314,48.9483,0.0131865,0.0100008,74.9998
0.297,399.64,346.315,49.0889,0.0133178,0.0100008,74.9998
0.308,401.615,346.315,49.2286,0.0134498,0.0100009,74.9998
0.319,403.591,346.316,49.3675,0.0135824,0.0100009,74.9998
0.33,405.566,346.317,49.5057,0.0137157,0.010001,74.9998
0.341,407.542,346.317,49.6431,0.0138497,0.010001,74.9998
0.352,409.517,346.318,49.7797,0.0139843,0.010001,74.9998
0.363,411.493,346.319,49.9155,0.0141195,0.0100011,74.9998
0.374,413.468,346.319,50.0506,0.0142554,0.0100011,74.9998
0.385,415.444,346.32,50.1849,0.0143919,0.0100011,74.9997
0.396,417.419,346.321,50.3185,0.0145291,0.0100012,74.9997
0.407,419.395,346.321,50.4513,0.014667,0.0100012,74.9997
0.418,421.37,346.322,50.5834,0.0148055,0.0100013,74.9997
0.429,423.345,346.323,50.7147,0.0149446,0.0100013,74.9997
0.44,425.321,346.323,50.8453,0.0150844,0.0100013,74.9997
0.451,427.296,346.324,50.9752,0.0152249,0.0100014,74.9997
0.462,429.272,346.325,51.1044,0.015366,0.0100014,74.9997
0.473,431.247,346.325,51.2328,0.0155077,0.0100015,74.9997
0.484,433.223,346.326,51.3605,0.0156501,0.0100015,74.9997
0.495,435.198,346.327,51.4875,0.0157932,0.0100016,74.9997
0.506,437.174,346.328,51.6138,0.0159369,0.0100016,74.9997
0.517,439.149,346.328,51.7395,0.0160812,0.0100016,74.9997
0.528,441.125,346.329,51.8644,0.0162262,0.0100017,74.9997
0.539,443.1,346.33,51.9886,0.0163719,0.0100017,74.9996
0.55,445.076,346.331,52.1121,0.0165182,0.0100018,74.9996
0.561,447.051,346.331,52.235,0.0166652,0.0100018,74.9996
0.572,449.026,346.332,52.3571,0.0168128,0.0100019,74.9996
0.583,451.002,346.333,52.4786,0.016961,0.0100019,74.9996
0.594,452.977,346.334,52.5995,0.0171099,0.010002,74.9996
0.605,454.953,346.335,52.7196,0.0172595,0.010002,74.9996
0.616,456.928,346.335,52.8392,0.0174097,0.0100021,74.9996
0.627,458.904,346.336,52.958,0.0175605,0.0100021,74.9996
0.638,460.879,346.337,53.0762,0.0177121,0.0100021,74.9996
0.649,462.854,346.338,53.1938,0.0178642,0.0100022,74.9996
0.66,464.83,346.339,53.3107,0.018017,0.0100022,74.9996
0.671,466.805,346.34,53.427,0.0181705,0.0100023,74.9996
