x,time,relative_density,v_perp,v_para,pitch_angle,v_perp_eV,v_para_eV,energy,energy_density,inval_lat
2,2.885,1,1658.88,347.478,78.1696,0.229469,0.0100681,0.239537,0.239537,74.9982
3,5.744,1,2959.16,353.036,83.1966,0.730183,0.0103928,0.740576,0.740576,74.9964
4,8.532,1,4226.67,365.952,85.0516,1.48968,0.0111672,1.50084,1.50084,74.9946
5,11.191,1,5435.04,388.102,85.9156,2.4632,0.0125599,2.47576,2.47576,74.9928
6,13.672,1,6561.98,419.889,86.3387,3.59059,0.0147016,3.60529,3.60529,74.991
7,15.949,1,7595.71,460.459,86.5309,4.81096,0.0176798,4.82864,4.82864,74.9892
8,18.018,1,8534.42,508.269,86.5918,6.07356,0.0215418,6.0951,6.0951,74.9874
9,19.89,1,9383.17,561.611,86.5748,7.34166,0.0263007,7.36796,7.36796,74.9856
10,21.586,1,10151.5,619.029,86.5105,8.59328,0.0319534,8.62523,8.62523,74.9838
11,23.128,1,10849.6,679.342,86.4171,9.81566,0.0384833,9.85414,9.85414,74.982
12,24.537,1,11486.8,741.663,86.3057,11.0026,0.0458679,11.0485,11.0485,74.9802
13,25.83,1,12071.1,805.26,86.1835,12.1503,0.0540714,12.2044,12.2044,74.9784
14,27.025,1,12610.5,869.761,86.0545,13.2606,0.0630804,13.3236,13.3236,74.9766
15,28.134,1,13110.7,934.75,85.9219,14.3333,0.0728595,14.4061,14.4061,74.9748
16,29.168,1,13576.5,999.964,85.7875,15.3699,0.0833804,15.4533,15.4533,74.973
17,30.137,1,14012.6,1065.26,85.6526,16.3732,0.0946257,16.4678,16.4678,74.9712
18,31.048,1,14422.2,1130.46,85.5181,17.3443,0.106562,17.4508,17.4508,74.9694
19,31.908,1,14808.4,1195.48,85.3845,18.2856,0.119174,18.4048,18.4048,74.9676
20,32.723,1,15174,1260.3,85.2521,19.1996,0.132446,19.3321,19.3321,74.9658
21,33.496,1,15520.3,1324.71,85.1214,20.0861,0.146331,20.2324,20.2324,74.964
22,34.234,1,15850.6,1388.93,84.9922,20.9502,0.160863,21.111,21.111,74.9622
23,34.938,1,16165.3,1452.73,84.8648,21.7904,0.17598,21.9663,21.9663,74.9604
24,35.611,1,16465.8,1516.06,84.7394,22.6081,0.191659,22.7997,22.7997,74.9586
25,36.258,1,16754.4,1579.15,84.6156,23.4074,0.207943,23.6154,23.6154,74.9568
26,36.879,1,17031.1,1641.77,84.4938,24.1868,0.224762,24.4116,24.4116,74.955
27,37.476,1,17296.7,1703.91,84.3739,24.9472,0.242096,25.1893,25.1893,74.9532
28,38.053,1,17553.1,1765.79,84.2556,25.6923,0.259999,25.9523,25.9523,74.9514
29,38.61,1,17800.4,1827.24,84.139,26.4212,0.278412,26.6996,26.6996,74.9496
30,39.148,1,18038.9,1888.23,84.0243,27.134,0.297308,27.4313,27.4313,74.9478
31,39.669,1,18269.6,1948.84,83.9112,27.8325,0.316699,28.1492,28.1492,74.946
32,40.174,1,18492.9,2009.05,83.7998,28.5171,0.33657,28.8537,28.8537,74.9442
33,40.665,1,18709.8,2068.98,83.6897,29.1899,0.356951,29.5469,29.5469,74.9424
34,41.141,1,18919.8,2128.41,83.5814,29.8488,0.377752,30.2266,30.2266,74.9406
35,41.605,1,19124.2,2187.62,83.4743,30.4974,0.399059,30.8965,30.8965,74.9388
36,42.056,1,19322.7,2246.37,83.3688,31.1337,0.420783,31.5545,31.5545,74.937
37,42.495,1,19515.6,2304.72,83.2648,31.7586,0.442926,32.2015,32.2015,74.9352
38,42.924,1,19704,2362.85,83.1619,32.3744,0.465551,32.84,32.84,74.9334
39,43.342,1,19887.2,2420.55,83.0604,32.9794,0.488568,33.468,33.468,74.9316
40,43.75,1,20065.9,2477.9,82.9603,33.5746,0.511992,34.0866,34.0866,74.9298
41,44.149,1,20240.3,2534.96,82.8613,34.161,0.535844,34.6969,34.6969,74.928
42,44.539,1,20410.7,2591.68,82.7635,34.7384,0.560092,35.2985,35.2985,74.9263
43,44.921,1,20577.3,2648.15,82.6667,35.3079,0.584765,35.8927,35.8927,74.9245
44,45.295,1,20740.2,2704.32,82.5711,35.8692,0.609834,36.4791,36.4791,74.9227
45,45.661,1,20899.5,2760.13,82.4766,36.4221,0.635265,37.0574,37.0574,74.9209
46,46.02,1,21055.5,2815.7,82.3832,36.9679,0.6611,37.629,37.629,74.9191
47,46.371,1,21207.8,2870.81,82.291,37.5047,0.687234,38.1919,38.1919,74.9173
48,46.716,1,21357.3,2925.75,82.1996,38.0354,0.713787,38.7492,38.7492,74.9155
49,47.055,1,21504,2980.47,82.1091,38.5598,0.740738,39.3006,39.3006,74.9137
50,47.387,1,21647.6,3034.78,82.0197,39.0763,0.767978,39.8442,39.8442,74.9119
51,47.714,1,21788.7,3088.96,81.931,39.5876,0.795647,40.3832,40.3832,74.9101
52,48.035,1,21927.1,3142.83,81.8433,40.0921,0.823638,40.9158,40.9158,74.9083
53,48.35,1,22062.8,3196.34,81.7566,40.5897,0.851924,41.4416,41.4416,74.9065
54,48.661,1,22196.5,3249.81,81.6705,41.0833,0.880664,41.964,41.964,74.9047
55,48.966,1,22327.5,3302.86,81.5854,41.5696,0.909652,42.4793,42.4793,74.9029
56,49.266,1,22456.2,3355.64,81.5011,42.0502,0.938958,42.9891,42.9891,74.9011
57,49.562,1,22583,3408.3,81.4175,42.5264,0.968661,43.495,43.495,74.8994
58,49.853,1,22707.5,3460.64,81.3347,42.9965,0.99864,43.9952,43.9952,74.8976
59,50.14,1,22830.1,3512.82,81.2526,43.4622,1.02898,44.4911,44.4911,74.8958
60,50.423,1,22950.9,3564.8,81.1712,43.9231,1.05966,44.9828,44.9828,74.894
61,50.701,1,23069.3,3616.39,81.0907,44.3777,1.09055,45.4683,45.4683,74.8922
62,50.976,1,23186.4,3667.93,81.0107,44.8291,1.12186,45.951,45.951,74.8904
63,51.246,1,23301.1,3719.04,80.9316,45.274,1.15334,46.4273,46.4273,74.8886
64,51.513,1,23414.4,3770.06,80.8531,45.7155,1.1852,46.9007,46.9007,74.8868
65,51.777,1,23526.4,3820.98,80.775,46.1535,1.21743,47.3709,47.3709,74.885
66,52.037,1,23636.4,3871.6,80.6977,46.5864,1.2499,47.8363,47.8363,74.8832
67,52.294,1,23745.1,3922.09,80.6209,47.0156,1.28271,48.2984,48.2984,74.8814
68,52.547,1,23851.9,3972.23,80.5449,47.4396,1.31572,48.7553,48.7553,74.8797
69,52.797,1,23957.3,4022.21,80.4695,47.8599,1.34904,49.2089,49.2089,74.8779
70,53.044,1,24061.3,4072.01,80.3946,48.2763,1.38265,49.659,49.659,74.8761
71,53.288,1,24163.9,4121.61,80.3203,48.689,1.41654,50.1055,50.1055,74.8743
72,53.529,1,24265.2,4171.02,80.2466,49.0977,1.4507,50.5484,50.5484,74.8725
73,53.768,1,24365.4,4220.4,80.1731,49.5042,1.48526,50.9895,50.9895,74.8707
74,54.003,1,24463.8,4269.35,80.1006,49.905,1.51992,51.425,51.425,74.8689
75,54.236,1,24561.3,4318.26,80.0284,50.3035,1.55494,51.8584,51.8584,74.8671
76,54.466,1,24657.4,4366.92,79.9568,50.6978,1.59018,52.288,52.288,74.8653
77,54.694,1,24752.5,4415.51,79.8856,51.0898,1.62576,52.7155,52.7155,74.8636
78,54.919,1,24846.3,4463.82,79.815,51.4775,1.66153,53.139,53.139,74.8618
79,55.142,1,24939.1,4512.05,79.7448,51.8627,1.69763,53.5603,53.5603,74.86
80,55.363,1,25030.9,4560.19,79.6749,52.2453,1.73405,53.9794,53.9794,74.8582
81,55.581,1,25121.4,4608.02,79.6058,52.6237,1.77061,54.3943,54.3943,74.8564
82,55.797,1,25210.9,4655.73,79.537,52.9994,1.80747,54.8069,54.8069,74.8546
83,56.01,1,25299,4703.11,79.4689,53.3707,1.84444,55.2151,55.2151,74.8528
84,56.222,1,25386.7,4750.58,79.4009,53.741,1.88186,55.6229,55.6229,74.851
85,56.432,1,25473.3,4797.91,79.3333,54.1087,1.91955,56.0282,56.0282,74.8493
86,56.639,1,25558.7,4844.88,79.2664,54.4718,1.95731,56.4291,56.4291,74.8475
87,56.844,1,25643.1,4891.68,79.2,54.8321,1.99532,56.8274,56.8274,74.8457
88,57.048,1,25726.9,4938.56,79.1336,55.1913,2.03374,57.2251,57.2251,74.8439
89,57.249,1,25809.4,4985.04,79.0681,55.546,2.0722,57.6182,57.6182,74.8421
90,57.449,1,25891.5,5031.57,79.0026,55.8995,2.11107,58.0106,58.0106,74.8403
91,57.647,1,25972.5,5077.91,78.9376,56.2501,2.15014,58.4003,58.4003,74.8385
92,57.843,1,26052.7,5124.07,78.873,56.5978,2.1894,58.7872,58.7872,74.8368
93,58.037,1,26131.9,5170.02,78.8089,56.9426,2.22884,59.1714,59.1714,74.835
94,58.23,1,26210.6,5216,78.745,57.2861,2.26866,59.5548,59.5548,74.8332
95,58.421,1,26288.4,5261.77,78.6815,57.6266,2.30865,59.9353,59.9353,74.8314
96,58.61,1,26365.3,5307.31,78.6185,57.9641,2.34879,60.3129,60.3129,74.8296
97,58.797,1,26441.2,5352.62,78.556,58.2986,2.38907,60.6877,60.6877,74.8278
98,58.983,1,26516.7,5397.94,78.4936,58.6318,2.4297,61.0615,61.0615,74.8261
99,59.168,1,26591.6,5443.27,78.4314,58.9636,2.47067,61.4343,61.4343,74.8243
100,59.351,1,26665.6,5488.34,78.3698,59.2924,2.51175,61.8041,61.8041,74.8225
101,59.532,1,26738.8,5533.16,78.3086,59.618,2.55294,62.171,62.171,74.8207
102,59.712,1,26811.4,5577.96,78.2476,59.9423,2.59445,62.5367,62.5367,74.8189
103,59.891,1,26883.5,5622.74,78.1867,60.2652,2.63628,62.9015,62.9015,74.8171
104,60.068,1,26954.7,5667.26,78.1264,60.5849,2.67819,63.2631,63.2631,74.8154
105,60.244,1,27025.4,5711.74,78.0663,60.9032,2.72039,63.6236,63.6236,74.8136
106,60.418,1,27095.3,5755.94,78.0068,61.2183,2.76266,63.981,63.981,74.8118
107,60.591,1,27164.6,5800.09,77.9474,61.532,2.80521,64.3372,64.3372,74.81
108,60.763,1,27233.4,5844.21,77.8882,61.8442,2.84805,64.6923,64.6923,74.8082
109,60.934,1,27301.7,5888.28,77.8292,62.155,2.89116,65.0462,65.0462,74.8064
110,61.103,1,27369.2,5932.05,77.7708,62.4625,2.9343,65.3968,65.3968,74.8047
111,61.271,1,27436.2,5975.76,77.7125,62.7685,2.9777,65.7462,65.7462,74.8029
112,61.437,1,27502.2,6019.15,77.6549,63.0712,3.0211,66.0923,66.0923,74.8011
113,61.603,1,27568.2,6062.73,77.5971,63.3742,3.06501,66.4392,66.4392,74.7993
114,61.767,1,27633.3,6105.99,77.5399,63.6738,3.10891,66.7827,66.7827,74.7975
115,61.931,1,27698.3,6149.44,77.4825,63.9738,3.15331,67.1271,67.1271,74.7958
116,62.093,1,27762.4,6192.56,77.4257,64.2703,3.19768,67.468,67.468,74.794
117,62.254,1,27826.1,6235.59,77.3692,64.5654,3.24228,67.8077,67.8077,74.7922
118,62.413,1,27888.9,6278.28,77.3132,64.857,3.28682,68.1438,68.1438,74.7904
119,62.572,1,27951.6,6321.14,77.2571,65.1489,3.33186,68.4808,68.4808,74.7886
120,62.73,1,28013.8,6363.92,77.2013,65.4392,3.3771,68.8163,68.8163,74.7869
121,62.886,1,28075.1,6406.33,77.146,65.7261,3.42227,69.1484,69.1484,74.7851
122,63.042,1,28136.4,6448.92,77.0906,66.0132,3.46792,69.4811,69.4811,74.7833
123,63.196,1,28196.7,6491.14,77.0359,66.2969,3.51347,69.8103,69.8103,74.7815
124,63.35,1,28257,6533.53,76.981,66.5807,3.55951,70.1403,70.1403,74.7797
125,63.503,1,28316.9,6575.81,76.9264,66.863,3.60573,70.4687,70.4687,74.778
126,63.654,1,28375.8,6617.7,76.8724,67.1418,3.65182,70.7936,70.7936,74.7762
127,63.805,1,28434.7,6659.76,76.8182,67.4207,3.69839,71.1191,71.1191,74.7744
128,63.955,1,28493.2,6701.71,76.7644,67.6981,3.74512,71.4432,71.4432,74.7726
129,64.103,1,28550.7,6743.25,76.7111,67.9719,3.7917,71.7635,71.7635,74.7709
130,64.251,1,28608.2,6784.95,76.6578,68.2458,3.83874,72.0846,72.0846,74.7691
131,64.398,1,28665.2,6826.53,76.6047,68.5181,3.88593,72.4041,72.4041,74.7673
132,64.544,1,28721.8,6867.98,76.5519,68.7888,3.93326,72.722,72.722,74.7655
133,64.689,1,28777.9,6909.3,76.4994,69.0577,3.98073,73.0384,73.0384,74.7637
134,64.834,1,28833.9,6950.77,76.4467,69.3268,4.02866,73.3554,73.3554,74.762
135,64.977,1,28889,6991.81,76.3947,69.5923,4.07638,73.6687,73.6687,74.7602
136,65.12,1,28944.1,7033,76.3426,69.8579,4.12455,73.9825,73.9825,74.7584
137,65.261,1,28998.4,7073.77,76.2912,70.12,4.1725,74.2925,74.2925,74.7566
138,65.402,1,29052.5,7114.67,76.2397,70.3822,4.2209,74.6031,74.6031,74.7549
139,65.542,1,29106.2,7155.43,76.1884,70.6427,4.2694,74.9121,74.9121,74.7531
140,65.682,1,29159.9,7196.33,76.1371,70.9033,4.31834,75.2217,75.2217,74.7513
141,65.82,1,29212.7,7236.78,76.0864,71.1603,4.36703,75.5274,75.5274,74.7495
142,65.958,1,29265.4,7277.37,76.0356,71.4175,4.41615,75.8336,75.8336,74.7478
143,66.095,1,29317.7,7317.8,75.9851,71.6728,4.46536,76.1382,76.1382,74.746
144,66.232,1,29369.9,7358.36,75.9346,71.9283,4.515,76.4433,76.4433,74.7442
145,66.367,1,29421.3,7398.47,75.8847,72.1801,4.56435,76.7445,76.7445,74.7424
146,66.502,1,29472.6,7438.71,75.8347,72.4321,4.61413,77.0462,77.0462,74.7407
147,66.636,1,29523.4,7478.78,75.785,72.6822,4.66398,77.3462,77.3462,74.7389
148,66.769,1,29573.8,7518.67,75.7357,72.9306,4.71387,77.6445,77.6445,74.7371
149,66.902,1,29624.1,7558.7,75.6862,73.1791,4.76419,77.9432,77.9432,74.7353
150,67.034,1,29674,7598.55,75.6371,73.4257,4.81455,78.2403,78.2403,74.7336
151,67.165,1,29723.5,7638.22,75.5882,73.6706,4.86496,78.5356,78.5356,74.7318
152,67.296,1,29772.8,7678.01,75.5393,73.9155,4.91578,78.8313,78.8313,74.73
153,67.426,1,29821.8,7717.62,75.4907,74.1587,4.96663,79.1253,79.1253,74.7282
154,67.555,1,29870.3,7757.05,75.4424,74.4,5.01751,79.4175,79.4175,74.7265
155,67.683,1,29918.3,7796.29,75.3943,74.6396,5.0684,79.708,79.708,74.7247
156,67.811,1,29966.3,7835.64,75.3463,74.8791,5.1197,79.9988,79.9988,74.7229
157,67.939,1,30014.2,7875.11,75.2981,75.1188,5.17141,80.2902,80.2902,74.7211
158,68.065,1,30061.3,7914.08,75.2507,75.3547,5.22272,80.5774,80.5774,74.7194
159,68.191,1,30108.3,7953.17,75.2032,75.5907,5.27443,80.8651,80.8651,74.7176
160,68.317,1,30155.3,7992.36,75.1556,75.8267,5.32655,81.1533,81.1533,74.7158
161,68.442,1,30201.8,8031.36,75.1084,76.0609,5.37865,81.4396,81.4396,74.7141
162,68.566,1,30247.9,8070.16,75.0614,76.2933,5.43074,81.724,81.724,74.7123
163,68.689,1,30293.6,8108.75,75.0148,76.5238,5.48281,82.0066,82.0066,74.7105
164,68.813,1,30339.6,8147.76,74.9678,76.7562,5.53569,82.2919,82.2919,74.7087
165,68.935,1,30384.7,8186.26,74.9214,76.985,5.58812,82.5731,82.5731,74.707
166,69.057,1,30429.8,8224.85,74.875,77.2137,5.64094,82.8546,82.8546,74.7052
167,69.178,1,30474.5,8263.24,74.8289,77.4406,5.69371,83.1343,83.1343,74.7034
168,69.299,1,30519.1,8301.73,74.7828,77.6675,5.74688,83.4144,83.4144,74.7017
169,69.419,1,30563.3,8340,74.7369,77.8925,5.79999,83.6925,83.6925,74.6999
170,69.539,1,30607.4,8378.38,74.6911,78.1176,5.85349,83.9711,83.9711,74.6981
171,69.658,1,30651.1,8416.53,74.6455,78.3408,5.90693,84.2477,84.2477,74.6964
172,69.776,1,30694.4,8454.47,74.6003,78.5621,5.9603,84.5224,84.5224,74.6946
173,69.894,1,30737.6,8492.5,74.555,78.7834,6.01404,84.7975,84.7975,74.6928
174,70.012,1,30780.7,8530.64,74.5097,79.0048,6.06817,85.073,85.073,74.691
175,70.129,1,30823.5,8568.54,74.4647,79.2243,6.12222,85.3465,85.3465,74.6893
176,70.245,1,30865.8,8606.22,74.4201,79.4419,6.17618,85.618,85.618,74.6875
177,70.361,1,30908,8643.99,74.3754,79.6595,6.23051,85.89,85.89,74.6857
178,70.477,1,30950.2,8681.86,74.3306,79.877,6.28522,86.1623,86.1623,74.684
179,70.592,1,30992,8719.49,74.2862,80.0928,6.33983,86.4326,86.4326,74.6822
180,70.706,1,31033.3,8756.89,74.2421,80.3066,6.39433,86.7009,86.7009,74.6804
181,70.82,1,31074.6,8794.38,74.198,80.5204,6.44919,86.9696,86.9696,74.6787
182,70.933,1,31115.5,8831.63,74.1542,80.7323,6.50394,87.2363,87.2363,74.6769
183,71.046,1,31156.3,8868.97,74.1104,80.9443,6.55906,87.5033,87.5033,74.6751
184,71.159,1,31197,8906.4,74.0666,81.1562,6.61454,87.7707,87.7707,74.6734
185,71.271,1,31237.4,8943.59,74.023,81.3662,6.66989,88.036,88.036,74.6716
186,71.383,1,31277.6,8980.86,73.9795,81.5762,6.7256,88.3018,88.3018,74.6698
187,71.494,1,31317.5,9017.89,73.9362,81.7842,6.78117,88.5654,88.5654,74.6681
188,71.604,1,31357,9054.67,73.8933,81.9904,6.8366,88.827,88.827,74.6663
189,71.715,1,31396.7,9091.87,73.85,82.1985,6.89289,89.0914,89.0914,74.6645
190,71.824,1,31435.7,9128.48,73.8075,82.4028,6.94851,89.3513,89.3513,74.6628
191,71.934,1,31475,9165.51,73.7645,82.6089,7.00501,89.6139,89.6139,74.661
192,72.043,1,31513.9,9202.29,73.7218,82.8131,7.06134,89.8744,89.8744,74.6592
193,72.151,1,31552.4,9238.81,73.6795,83.0154,7.1175,90.1329,90.1329,74.6575
194,72.259,1,31590.8,9275.41,73.6372,83.2177,7.17401,90.3917,90.3917,74.6557
195,72.367,1,31629.1,9312.1,73.5948,83.4199,7.23087,90.6508,90.6508,74.6539
196,72.474,1,31667.1,9348.52,73.5527,83.6203,7.28754,90.9078,90.9078,74.6522
197,72.581,1,31705,9385.03,73.5107,83.8206,7.34456,91.1651,91.1651,74.6504
198,72.687,1,31742.5,9421.27,73.469,84.0189,7.4014,91.4203,91.4203,74.6486
199,72.793,1,31779.9,9457.58,73.4272,84.2173,7.45857,91.6759,91.6759,74.6469
200,72.898,1,31817,9493.63,73.3858,84.4137,7.51554,91.9293,91.9293,74.6451
201,73.003,1,31854,9529.76,73.3444,84.6101,7.57285,92.183,92.183,74.6434
202,73.108,1,31890.9,9565.96,73.3029,84.8065,7.63049,92.437,92.437,74.6416
203,73.213,1,31927.8,9602.24,73.2614,85.0028,7.68848,92.6913,92.6913,74.6398
204,73.317,1,31964.3,9638.25,73.2203,85.1972,7.74625,92.9434,92.9434,74.638
205,73.42,1,32000.4,9673.98,73.1795,85.3896,7.8038,93.1934,93.1934,74.6363
206,73.523,1,32036.4,9709.79,73.1387,85.5821,7.86167,93.4437,93.4437,74.6345
207,73.626,1,32072.4,9745.67,73.0978,85.7744,7.91988,93.6943,93.6943,74.6328
208,73.728,1,32108,9781.27,73.0573,85.9649,7.97785,93.9427,93.9427,74.631
209,73.831,1,32143.9,9817.3,73.0164,86.1571,8.03672,94.1939,94.1939,74.6292
210,73.932,1,32179,9852.69,72.9763,86.3456,8.09478,94.4404,94.4404,74.6275
211,74.034,1,32214.4,9888.51,72.9357,86.5359,8.15374,94.6897,94.6897,74.6257
212,74.134,1,32249.1,9923.69,72.8958,86.7224,8.21186,94.9343,94.9343,74.624
213,74.235,1,32284.1,9959.29,72.8556,86.9107,8.27089,95.1816,95.1816,74.6222
214,74.335,1,32318.7,9994.61,72.8157,87.0971,8.32965,95.4268,95.4268,74.6204
215,74.435,1,32353.3,10030,72.7758,87.2835,8.38874,95.6722,95.6722,74.6187
216,74.535,1,32387.8,10065.4,72.7358,87.4697,8.44815,95.9179,95.9179,74.6169
217,74.634,1,32421.9,10100.6,72.6963,87.6541,8.50728,96.1614,96.1614,74.6151
218,74.733,1,32456,10135.8,72.6567,87.8384,8.56673,96.4051,96.4051,74.6134
219,74.831,1,32489.6,10170.8,72.6174,88.0207,8.6259,96.6466,96.6466,74.6116
220,74.929,1,32523.3,10205.8,72.5782,88.203,8.68538,96.8884,96.8884,74.6099
221,75.027,1,32556.8,10240.9,72.5389,88.3853,8.74517,97.1304,97.1304,74.6081
222,75.125,1,32590.4,10276,72.4995,88.5674,8.80528,97.3727,97.3727,74.6063
223,75.222,1,32623.5,10310.8,72.4606,88.7477,8.86509,97.6128,97.6128,74.6046
224,75.319,1,32656.6,10345.7,72.4216,88.9279,8.92521,97.8531,97.8531,74.6028
225,75.415,1,32689.3,10380.3,72.383,89.1061,8.98501,98.0911,98.0911,74.6011
226,75.511,1,32722,10415,72.3444,89.2843,9.04513,98.3294,98.3294,74.5993
227,75.607,1,32754.6,10449.7,72.3057,89.4624,9.10555,98.568,98.568,74.5975
228,75.703,1,32787.2,10484.5,72.267,89.6404,9.16628,98.8067,98.8067,74.5958
229,75.798,1,32819.4,10519,72.2287,89.8166,9.22668,99.0432,99.0432,74.594
230,75.893,1,32851.5,10553.6,72.1904,89.9926,9.28738,99.28,99.28,74.5923
231,75.987,1,32883.3,10587.8,72.1524,90.1667,9.34775,99.5145,99.5145,74.5905
232,76.082,1,32915.4,10622.5,72.114,90.3426,9.40906,99.7517,99.7517,74.5887
233,76.176,1,32947,10656.8,72.076,90.5166,9.47003,99.9866,99.9866,74.587
234,76.269,1,32978.3,10690.9,72.0384,90.6886,9.53065,100.219,100.219,74.5852
235,76.363,1,33009.9,10725.4,72.0003,90.8625,9.59222,100.455,100.455,74.5835
236,76.456,1,33041.1,10759.5,71.9627,91.0344,9.65343,100.688,100.688,74.5817
237,76.549,1,33072.3,10793.8,71.925,91.2062,9.71494,100.921,100.921,74.58
238,76.641,1,33103.1,10827.7,71.8876,91.3761,9.77608,101.152,101.152,74.5782
239,76.733,1,33133.8,10861.6,71.8503,91.5459,9.83751,101.383,101.383,74.5765
240,76.825,1,33164.5,10895.7,71.8129,91.7156,9.89924,101.615,101.615,74.5747
241,76.917,1,33195.2,10929.7,71.7755,91.8853,9.96126,101.847,101.847,74.5729
242,77.008,1,33225.5,10963.5,71.7385,92.053,10.0229,102.076,102.076,74.5712
243,77.099,1,33255.7,10997.3,71.7015,92.2207,10.0848,102.305,102.305,74.5694
244,77.19,1,33285.9,11031.2,71.6645,92.3882,10.147,102.535,102.535,74.5677
245,77.281,1,33316.1,11065.1,71.6274,92.5557,10.2095,102.765,102.765,74.5659
246,77.371,1,33345.9,11098.7,71.5907,92.7213,10.2717,102.993,102.993,74.5641
247,77.461,1,33375.6,11132.4,71.554,92.8868,10.334,103.221,103.221,74.5624
248,77.551,1,33405.3,11166.1,71.5173,93.0522,10.3967,103.449,103.449,74.5606
249,77.64,1,33434.7,11199.5,71.4809,93.2157,10.459,103.675,103.675,74.5589
250,77.729,1,33463.9,11232.9,71.4446,93.3791,10.5215,103.901,103.901,74.5571
251,77.818,1,33493.2,11266.4,71.4082,93.5424,10.5844,104.127,104.127,74.5554
252,77.907,1,33522.4,11299.9,71.3718,93.7056,10.6475,104.353,104.353,74.5536
253,77.995,1,33551.2,11333.1,71.3357,93.8669,10.7102,104.577,104.577,74.5519
254,78.083,1,33580,11366.4,71.2997,94.0281,10.7731,104.801,104.801,74.5501
255,78.171,1,33608.8,11399.7,71.2637,94.1893,10.8364,105.026,105.026,74.5484
256,78.259,1,33637.5,11433.1,71.2276,94.3503,10.8999,105.25,105.25,74.5466
257,78.346,1,33665.9,11466.1,71.1919,94.5094,10.963,105.472,105.472,74.5448
258,78.433,1,33694.2,11499.2,71.1562,94.6685,11.0263,105.695,105.695,74.5431
259,78.52,1,33722.5,11532.3,71.1205,94.8274,11.0899,105.917,105.917,74.5413
260,78.606,1,33750.4,11565.1,71.0851,94.9845,11.1531,106.138,106.138,74.5396
261,78.693,1,33778.6,11598.3,71.0494,95.1432,11.2173,106.361,106.361,74.5378
262,78.779,1,33806.4,11631.2,71.014,95.3001,11.281,106.581,106.581,74.5361
263,78.865,1,33834.2,11664.2,70.9786,95.4569,11.3449,106.802,106.802,74.5343
264,78.95,1,33861.6,11696.8,70.9436,95.6117,11.4085,107.02,107.02,74.5326
265,79.036,1,33889.4,11729.8,70.9082,95.7683,11.473,107.241,107.241,74.5308
266,79.121,1,33916.7,11762.5,70.8732,95.923,11.537,107.46,107.46,74.5291
267,79.206,1,33944,11795.2,70.8382,96.0776,11.6013,107.679,107.679,74.5273
268,79.29,1,33971,11827.6,70.8035,96.2302,11.6651,107.895,107.895,74.5256
269,79.375,1,33998.2,11860.4,70.7684,96.3846,11.73,108.115,108.115,74.5238
270,79.459,1,34025.1,11892.9,70.7338,96.5371,11.7943,108.331,108.331,74.5221
271,79.543,1,34052,11925.5,70.6991,96.6895,11.8589,108.548,108.548,74.5203
272,79.627,1,34078.8,11958,70.6643,96.8418,11.9238,108.766,108.766,74.5186
273,79.71,1,34105.2,11990.3,70.63,96.9922,11.9882,108.98,108.98,74.5168
274,79.794,1,34132,12022.9,70.5953,97.1444,12.0536,109.198,109.198,74.515
275,79.877,1,34158.3,12055.2,70.5609,97.2946,12.1184,109.413,109.413,74.5133
276,79.959,1,34184.4,12087.2,70.527,97.4429,12.1828,109.626,109.626,74.5116
277,80.042,1,34210.7,12119.6,70.4926,97.5929,12.2482,109.841,109.841,74.5098
278,80.124,1,34236.6,12151.7,70.4586,97.741,12.3131,110.054,110.054,74.5081
279,80.207,1,34262.9,12184.1,70.4242,97.8909,12.379,110.27,110.27,74.5063
280,80.289,1,34288.7,12216.3,70.3902,98.0388,12.4444,110.483,110.483,74.5045
281,80.37,1,34314.3,12248.1,70.3566,98.1848,12.5092,110.694,110.694,74.5028
282,80.452,1,34340.1,12280.3,70.3225,98.3326,12.5751,110.908,110.908,74.5011
283,80.533,1,34365.5,12312.1,70.2889,98.4784,12.6404,111.119,111.119,74.4993
284,80.614,1,34390.9,12344,70.2553,98.6242,12.706,111.33,111.33,74.4976
285,80.695,1,34416.3,12376,70.2216,98.7698,12.7719,111.542,111.542,74.4958
286,80.776,1,34441.7,12408,70.1879,98.9154,12.838,111.753,111.753,74.4941
287,80.856,1,34466.7,12439.6,70.1546,99.059,12.9035,111.963,111.963,74.4923
288,80.937,1,34492,12471.7,70.1209,99.2044,12.9701,112.175,112.175,74.4906
289,81.017,1,34516.9,12503.4,70.0876,99.3479,13.0362,112.384,112.384,74.4888
290,81.097,1,34541.8,12535.1,70.0543,99.4912,13.1025,112.594,112.594,74.4871
291,81.176,1,34566.3,12566.5,70.0214,99.6327,13.1682,112.801,112.801,74.4853
292,81.256,1,34591.2,12598.3,69.988,99.7759,13.2349,113.011,113.011,74.4836
293,81.335,1,34615.6,12629.8,69.9551,99.9172,13.3011,113.218,113.218,74.4818
294,81.414,1,34640.1,12661.3,69.9221,100.058,13.3676,113.426,113.426,74.4801
295,81.493,1,34664.5,12692.8,69.8892,100.199,13.4342,113.634,113.634,74.4783
296,81.572,1,34688.9,12724.4,69.8562,100.34,13.5012,113.842,113.842,74.4766
297,81.65,1,34712.9,12755.6,69.8236,100.48,13.5675,114.047,114.047,74.4748
298,81.729,1,34737.2,12787.3,69.7906,100.62,13.6349,114.255,114.255,74.4731
299,81.807,1,34761.2,12818.6,69.758,100.759,13.7017,114.461,114.461,74.4713
